;Ticker;Name;;Region;Currency Pair;;Global Fixed Income Indices;;;SPX Index;
Commodity Indices;;;;Americas;;;Ticker;Name;;CCMP Index;CCMP Index
;BCOMTR Index;Bloomberg Commodity Index;;USD-CAD;US Dollar to Canadian Dollar;;LEGATRUU:IND;Global Aggregate;;NYA Index;NYA Index
;CMCITR Index;UBS Bloomberg CMCI;;USD-MXN;US Dollar to Mexican Peso;;LBUSTRUU:IND;U.S. Aggregate;;SPTSX Index;SPTSX Index
;CRYTR Index;Reuters/Jefferies CRB;;USD-BRL;US Dollar to Brazilian Real;;LAPCTRJU:IND;Asian-Pacific Aggregate;;SX5E Index;SX5E Index
;RICIGLTR Index;Rogers International;;USD-CLP;US Dollar to Chilean Peso;;LP06TREU:IND;Pan-Euro Aggregate;;UKX Index;UKX Index
;SPGSCITR Index;S&P GSCI;;USD-COP;US Dollar to Colombian Peso;;EMUSTRUU:IND;EM USD Aggregate;;DAX Index;DAX Index
Energy - Crude Oil & Natural Gas;;;;USD-PEN;US Dollar to Peruvian Sol;;LF93TRUU:IND;Multiverse;;CAC Index;CAC Index
;CL1 Comdty;WTI Crude Oil (Nymex);;USD-VEF;US Dollar to Venezuelan Bolívar;;LEGATRUH:IND;Global Aggregate (Hedged);;IBEX Index;IBEX Index
;CO1 Comdty;Brent Crude (ICE);;USD-CRC;US Dollar to Costa Rican Colón;;LGCPTRUH:IND;Corporate (Hedged);;NKY Index;NKY Index
;CP1 Comdty;Crude Oil (Tokyo);;USD-ARS;US Dollar to Argentine Peso;;LEGATREH:IND;Global Aggregate (EUR Hedged);;TPX Index;TPX Index
;NG1 Comdty;Natural Gas (Nymex);;EMEA (Europe, Middle East & Africa);;;LEGATRCH:IND;Global Aggregate (CHF Hedged);;HSI Index;HSI Index
Energy - Refined Products;;;;EUR-USD;Euro to US Dollar;;LGCPTRUU:IND;Corporate;;SHSZ300 Index;SHSZ300 Index
;XB1 Comdty;RBOB Gasoline (Nymex);;GBP-USD;British Pound to US Dollar;;LGCPTREH:IND;Corporate (EUR Hedged);;AS51 Index;AS51 Index
;HO1 Comdty;Heating Oil (Nymex);;USD-CHF;US Dollar to Swiss Franc;;LGCPTRGH:IND;Corporate (GBP Hedged);;MXAP Index;MXAP Index
;QS1 Comdty;Gasoil (Nymex);;USD-SEK;US Dollar to Swedish Krona;;LGCPTRCH:IND;Corporate (CHF Hedged);;DM1 Index;DM1 Index
;JX1 Comdty;Kerosene (Tokyo);;USD-DKK;US Dollar to Danish Krone;;BTSYTRUU:IND;Global Treasury;;ES1 Index;ES1 Index
Energy - Emissions;;;;USD-NOK;US Dollar to Norwegian Krone;;BTSYTRUH:IND;Global Treasury (Hedged);;NQ1 Index;NQ1 Index
;MO1 Comdty;ECX Emissions (ICE);;USD-CZK;US Dollar to Czech Koruna;;BTSYTREH:IND;Global Treasury (EUR Hedged);;IS1 Index;IS1 Index
