Dates	BCOMTR Index	CMCITR Index	CRYTR Index	RICIGLTR Index	SPGSCITR Index	CL1 Comdty	CO1 Comdty	CP1 Comdty	NG1 Comdty	XB1 Comdty	HO1 Comdty	QS1 Comdty	JX1 Comdty	MO1 Comdty	GC1 Comdty	JG1 Comdty	XAUUSD Curncy	XAUEUR Curncy	XAUGBP Curncy	XAUJPY Curncy	XAUINR Curncy	SI1 Comdty	JI1 Comdty	XAGUSD Curncy	XAGEUR Curncy	XAGGBP Curncy	XAGJPY Curncy	XAGINR Curncy	XPTUSD Curncy	XPDUSD Curncy	HG1 Comdty	LMCADS03 Comdty	LMAHDS03 Comdty	LMZSDS03 Comdty	LMSNDS03 Comdty	C 1 Comdty	W 1 Comdty	O 1 Comdty	RR1 Comdty	S 1 Comdty	SM1 Comdty	BO1 Comdty	RS1 Comdty	CC1 Comdty	KC1 Comdty	SB1 Comdty	JO1 Comdty	CT1 Comdty	OL1 Comdty	LB1 Comdty	OR1 Comdty	DL1 Comdty	LC1 Comdty	FC1 Comdty	LH1 Comdty
01/05/2023	229,6255	1484,723	293,6132	3592,67	3270,83	75,66	79,31	68400	2,318	255,04	238,23	691	75000	84,25	1992,2	8711	1982,56	1806,26	1586,51	272734,875	163020,2188	25,009	108	24,9915	22,7685	19,9988	3437,81	2045,807	1055,77	1459,18	391,7	8595,5	2356	2647,5	26088	639,5	603,75	294,75	17,5	1454,75	435,3	51,55	753,6	3171	189,25	25,54	271,9	79,54	1027	341	134,9	2,161	164,875	209,7	79,3
02/05/2023	226,6963	1454,124	287,3887	3519,49	3172,969	71,66	75,32	68350	2,214	243,57	228,92	661	75000	86,63	2023,3	8775	2016,68	1833,58	1617,63	275559,1563	162668,9688	25,404	111,9	25,3715	23,0768	20,3594	3468,25	2021,2388	1066,69	1442,39	384,8	8514	2366,5	2609,5	26491	638	595,5	291,5	17,645	1439,5	429,8	51,39	758,4	3130	190,65	25,14	270,9	78,6	1027	341	135,3	2,161	162,9	205,95	78,175
03/05/2023	224,9859	1440,873	282,9369	3473,74	3107,991	68,6	72,33	68350	2,17	232,21	223,23	636,75	75000	83,28	2037	8775	2038,97	1843,24	1622,85	274899,0313	165057,125	25,476	111,9	25,577	23,1193	20,351	3448,21	2071,9622	1057,94	1429,81	383,15	8468,5	2321	2630	26777	645,25	626,25	299,25	17,73	1448	427,8	52,37	764,9	3014	189,2	25,17	274,45	76,99	1027	344	133,9	2,161	161,65	203,425	78,15
04/05/2023	225,2652	1440,712	283,2484	3479,4	3112,559	68,56	72,5	68350	2,101	232,59	223,87	648,5	75000	83	2055,7	8775	2050,28	1861,68	1630,6	275305,7813	167455,875	26,035	111,9	26,0505	23,6501	20,7175	3497,12	2098,5151	1047,97	1456,91	385	8493,5	2287	2622,5	25600	646,5	631,5	311,75	17,78	1448,5	427,3	52,27	764,1	3052	186,4	25,52	271	79,99	1027	352,6	135,5	2,161	161,575	203,65	77,075
05/05/2023	228,1858	1465,021	288,5783	3549,73	3187,353	71,34	75,3	68350	2,137	237,9	231,47	670,75	75000	83,28	2024,8	8775	2016,79	1830,4	1596,81	271867,25	167406,1875	25,743	111,9	25,6663	23,2949	20,3242	3460,06	2125,146	1062,52	1495,31	387,15	8581,5	2318,5	2686,5	26064	653,25	647	319,75	18,07	1469	428,9	54,09	784,1	3109	191	26,32	274,2	82,13	1027	358,5	136	2,161	161,925	202,525	75,525
08/05/2023	229,9316	1465,021	291,346	3586,54	3234,768	73,16	77,01	64380	2,238	246,16	237,77	690,5	75000	83,71	2033,2	8748	2021,16	1836,5	1601,67	273099,7813	165616,625	25,636	111,9	25,552	23,2197	20,2505	3452,98	2097,3989	1075,56	1556,46	391,8	8581,5	2318,5	2686,5	26064	656,5	641	330,5	18,15	1468,75	425,5	53,34	782,2	3179	186,9	26,09	278,6	81,53	1027	358	139,1	2,161	162,425	203,425	75,625
09/05/2023	229,6308	1471,423	291,5224	3582,44	3238,555	73,71	77,44	64600	2,267	247,99	239,02	675,25	75000	85,06	2042,9	8774	2034,56	1856,08	1612,09	275149,1563	166356,0625	25,698	111,9	25,6022	23,3599	20,2868	3462,62	2096,1431	1108,79	1575,38	388,9	8591,5	2320	2674	25995	642,25	630,5	329	18,005	1451,75	416,4	52,72	787,1	3229	188	26,19	266,3	80,99	1027	344	139	2,161	163,925	205,925	76,275
10/05/2023	227,8561	1461,428	289,4643	3554,6	3217,354	72,56	76,41	64760	2,191	249,49	239,34	694,75	75000	87,7	2037,1	8824	2030,09	1848,65	1608,17	272813,375	166547,8438	25,461	112,9	25,4022	23,123	20,1133	3412,69	2084,9688	1118,46	1613,71	382,8	8475	2268	2623,5	25846	645,5	628,25	331,75	18,145	1436,5	417,9	51,85	779,7	3260	187,45	26,66	266,5	80,76	1027	348,9	138,3	2,161	163	205,375	76,575
11/05/2023	224,3088	1434,993	284,8326	3491,61	3160,392	70,87	74,98	64540	2,19	245,77	234,95	694,75	75000	86,59	2020,5	8769	2015,05	1846,01	1610,54	271131,0313	165562,4063	24,255	112,9	24,1835	22,1576	19,3296	3254,08	1997,2703	1096,93	1559,71	369,75	8163,5	2211	2548	25308	632,5	614,25	328,25	18,095	1443,25	426,6	50,91	769,1	3242	185,8	26,02	249,15	79,62	1027	345	136,9	2,161	162,95	204,125	76,6
12/05/2023	224,4831	1433,32	284,8051	3486,63	3150,342	70,04	74,17	62890	2,266	243,02	230,55	669	75000	86,65	2019,8	8696	2010,77	1853,31	1615,46	272898,375	165544	23,992	104,9	23,969	22,092	19,2586	3252,81	1975,6986	1053,04	1512,77	371,65	8253	2231,5	2549	24836	633,25	624,5	328,25	18,275	1435	428,1	49,89	757,9	3226	186	26,22	242,75	80,53	1027	339	136,8	2,161	164,4	205,475	76,625
