Dates	LEGATRUU Index	LBUSTRUU Index	LAPCTRJU Index	LP06TREU Index	EMUSTRUU Index	LF93TRUU Index	LEGATRUH Index	LGCPTRUH Index	LEGATREH Index	LEGATRCH Index	LGCPTRUU Index	LGCPTREH Index	LGCPTRGH Index	LGCPTRCH Index	BTSYTRUU Index	BTSYTRUH Index	BTSYTREH Index	BTSYTRCH Index	LG30TRUU Index	LG30TRUH Index	LG30TREH Index	LG30TRCH Index	LC07TRUU Index	LUATTRUU Index	LT12TRUU Index	LBUTTRUU Index	LUCRTRUU Index	LUICTRUU Index	LUGCTRUU Index	LF97TRUU Index	LUMSTRUU Index	LF98TRUU Index	LMBITR Index	LUACTRUU Index	LUTLTRUU Index	LG24TRJU Index	LG22TRUU Index	LBEATREU Index	LECPTREU Index	LP01TREU Index	LEF1TREU Index	LEATTREU Index	LC58TRGU Index	LSG1TRGU Index	EMLCTRUU Index	BLXCTREU Index	BECLTRUU Index	LB17TRUU Index	BCIW1T Index	BCIT1T Index	BEIG1T Index	BEMG0Z Index	BCEE1T Index	GB3 Govt	GB6 Govt	GB12 Govt	GT2 Govt	GT5 Govt	GT10 Govt	GT30 Govt	GTII5 Govt	GTII10 Govt	GTII20 Govt	GTII30 Govt	FDFD Index	FDTR Index	PRIME Index	BVMB1Y Index	BVMB2Y Index	BVMB5Y Index	BVMB10Y Index	BVMB30Y Index	GTGBP2Y Govt	GTGBP5Y Govt	GTGBP10Y Govt	GTGBP30Y Govt	UKBRBASE Index	UKAPTARG Index	GTDEM2Y Govt	GTDEM5Y Govt	GTDEM10Y Govt	GTDEM30Y Govt	EURR002W Index	EBBSLONG Index	GTJPY2Y Govt	GTJPY5Y Govt	GTJPY10Y Govt	GTJPY20Y Govt	GTJPY30Y Govt	BOJDTR Index	BJACTOTL Index	GTAUD2Y Govt	GTAUD5Y Govt	GTAUD10Y Govt	GTAUD15Y Govt	RBATCTR Index
01/05/2023	458,2306	2101,74	172,7707	207,473	1096,38	211,3441	539,2903	268,4547	205,0954	159,9748	257,9183	224,1015	280,0734	179,8411	549,5646	644,8937	197,8485	264,1914	1382,466	513,895	393,0499	317,7161	564,2154	2245,16	284,41	337,9544	3013,39	2883,43	2439,09	2203,8	2070,55	2284,19	1273,674	3058,98	3385,54	136,7993	251,562	226,4886	233,2819	402,4954	132,1234	230,6493	235,0251	226,3626	141,0284	141,2133	126,6505	402,2897	361,7621	341,14	230,8388	429,3594	213,2364	5,022	5,079	4,864	4,144	3,635	3,57	3,811	1,376	1,325	1,659	1,579	4,82	5	8	2,831	2,702	2,373	2,362	3,477	3,768	3,5992	3,7153	4,0866	4,25	875	2,675	2,3	2,31	2,411	3,5	1100,448	-0,043	0,104	0,4	1,009	1,264	-0,1	740072,6	3,05	3,0862	3,3513	3,715	3,6
02/05/2023	460,6088	2121,8	172,0241	207,9414	1100,188	212,3746	541,9607	270,2822	206,1034	160,752	259,5709	225,6211	281,974	181,051	552,0848	647,371	198,6001	265,1796	1381,13	513,4639	392,6929	317,4108	569,0183	2267,24	284,47	340,4026	3040,35	2900,45	2462,03	2217,98	2091,43	2278,37	1274,336	3087,22	3460,66	136,606	252,8852	227,1443	233,8919	402,6839	132,129	231,3276	235,8363	227,1898	140,8316	140,921	126,3271	402,3556	363,2215	343,6882	230,7777	425,7651	213,8669	5,145	4,969	4,745	3,962	3,449	3,427	3,713	1,255	1,232	1,598	1,522	4,82	5	8	2,829	2,7	2,371	2,359	3,473	3,7249	3,5453	3,6659	4,0594	4,25	875	2,61	2,24	2,256	2,377	3,5	1100,448	-0,041	0,111	0,414	1,027	1,264	-0,1	740072,6	3,2588	3,2313	3,4438	3,7925	3,85
03/05/2023	463,0093	2131,52	171,278	207,8468	1103,387	213,4678	543,127	270,8491	206,5371	161,0801	260,6083	226,0869	282,5683	181,4137	555,4	648,5185	198,9418	265,6189	1384,521	514,0577	393,1465	317,76	571,4404	2278,07	284,53	341,9575	3051	2910,64	2472,46	2226,89	2102,97	2280,3	1275,382	3097,66	3483,21	136,606	254,0459	227,1738	233,7053	402,5274	132,1423	231,4618	235,1981	226,514	141,2816	140,7452	127,1129	404,1621	363,2315	345,2746	230,1856	428,387	213,99	5,208	4,973	4,659	3,806	3,3	3,34	3,683	1,134	1,152	1,555	1,491	4,82	5,25	8	2,829	2,697	2,36	2,348	3,469	3,7546	3,5631	3,6925	4,0919	4,25	875	2,63	2,242	2,246	2,368	3,5	1100,448	-0,041	0,111	0,414	1,027	1,264	-0,1	740072,6	3,2238	3,1725	3,4088	3,7775	3,85
04/05/2023	463,3134	2127,65	170,8134	208,6896	1102,398	213,5742	543,2291	270,3665	206,5626	161,0901	259,9253	225,6653	282,0606	181,069	556,6183	649,0569	199,0949	265,8054	1379,512	512,6095	391,9943	316,8292	570,4186	2276,46	284,61	341,6091	3039,86	2907,11	2467,86	2227,6	2098,98	2270,36	1278,224	3084,63	3454,55	136,606	253,9224	227,8521	234,3493	402,773	132,1556	232,1372	235,4879	226,8186	141,7199	139,7204	127,3631	401,2825	363,0524	344,878	230,4907	429,3658	214,6418	5,216	4,994	4,639	3,792	3,33	3,381	3,733	1,184	1,193	1,585	1,523	5,07	5,25	8,25	2,813	2,677	2,327	2,305	3,443	3,6612	3,474	3,6495	4,0657	4,25	875	2,463	2,117	2,188	2,363	3,75	1100,448	-0,041	0,111	0,414	1,027	1,264	-0,1	740072,6	3,0963	3,035	3,3038	3,6925	3,85
05/05/2023	462,0432	2121,07	171,7276	207,7774	1100,649	213,0347	541,768	269,6313	205,9922	160,6346	259,3734	225,0359	281,2942	180,5466	554,606	647,1995	198,5107	265,0098	1382,053	513,4742	392,6353	317,3023	568,8712	2267,61	284,59	340,9633	3032,19	2898,96	2459,66	2220,05	2093,89	2277,97	1278,434	3077,51	3439,12	136,606	253,3854	226,7728	233,568	403,0143	132,1733	230,8267	233,8818	225,0897	142,0908	139,747	127,8055	403,1126	361,7826	344,3297	229,9529	433,3638	213,4214	5,22	5,066	4,748	3,916	3,412	3,44	3,754	1,215	1,224	1,593	1,529	5,07	5,25	8,25	2,816	2,68	2,332	2,311	3,445	3,7751	3,5868	3,7768	4,1775	4,25	875	2,563	2,228	2,289	2,461	3,75	1100,448	-0,041	0,111	0,414	1,027	1,264	-0,1	740072,6	3,0838	3,025	3,3188	3,71	3,85
08/05/2023	461,0355	2110,23	171,7909	207,502	1098,431	212,5906	540,3769	268,5354	205,4233	160,1627	258,4231	224,0771	280,1382	179,7478	553,8017	646,02	198,1107	264,4282	1381,438	513,1906	392,3456	317,0151	566,2333	2256,93	284,65	339,9408	3014,96	2889,5	2447,21	2213,38	2082,57	2276,45	1278,701	3059,08	3397,62	136,7444	252,721	226,3594	233,2705	403,228	132,207	230,3341	233,9393	225,1394	142,1152	139,5714	128,0567	401,6868	361,0879	343,1516	229,9537	434,0615	212,9394	5,214	5,052	4,81	4,003	3,492	3,51	3,824	1,256	1,271	1,642	1,581	5,07	5,25	8,25	2,817	2,682	2,333	2,314	3,447	3,7751	3,5868	3,7768	4,1775	4,25	875	2,606	2,265	2,317	2,486	3,75	1100,448	-0,039	0,118	0,413	1,027	1,269	-0,1	740072,6	3,1863	3,125	3,3988	3,77	3,85
09/05/2023	459,7722	2107,84	171,6463	207,3231	1097,689	211,9971	539,8685	268,3302	205,209	159,9899	257,8493	223,8764	279,9145	179,584	552,0629	645,2996	197,8707	264,0974	1379,075	512,8164	392,0111	316,738	565,6303	2254,47	284,67	339,3945	3012,29	2887,9	2444,77	2212,18	2079,39	2273,75	1278,871	3056,56	3386,4	136,5973	252,016	226,101	233,1292	403,3083	132,2307	229,9574	232,9213	224,0593	141,7702	139,6718	127,5158	400,7012	360,4938	342,5673	230,027	430,658	212,587	5,214	5,142	4,842	4,024	3,496	3,521	3,839	1,27	1,286	1,661	1,601	5,07	5,25	8,25	2,817	2,682	2,333	2,314	3,447	3,8489	3,6641	3,8513	4,2316	4,25	875	2,625	2,288	2,347	2,528	3,75	1100,448	-0,038	0,124	0,419	1,039	1,269	-0,1	740072,6	3,2213	3,1575	3,4475	3,82	3,85
10/05/2023	461,9906	2120,61	171,3999	207,9215	1100,938	212,9913	541,9125	269,56	205,9803	160,5781	259,1499	224,8994	281,1863	180,3897	554,6776	647,3774	198,5013	264,918	1382,432	513,9308	392,8503	317,3944	568,8163	2266,82	284,77	340,3605	3030,19	2901,51	2458,54	2222,23	2094,52	2279,91	1279,215	3075,26	3418,63	136,7239	253,2052	226,8109	233,5719	403,4837	132,2406	230,8372	233,6438	224,8264	141,9561	139,4486	127,7183	402,977	362,3002	343,5853	231,1433	433,1369	213,4063	5,221	5,091	4,712	3,912	3,385	3,444	3,799	1,247	1,256	1,64	1,582	5,07	5,25	8,25	2,815	2,68	2,332	2,312	3,443	3,8126	3,6209	3,796	4,1868	4,25	875	2,567	2,224	2,286	2,472	3,75	1100,448	-0,042	0,118	0,414	1,029	1,264	-0,1	739914	3,2613	3,18	3,4525	3,8275	3,85
11/05/2023	462,3752	2126,22	171,4997	208,6537	1103,978	213,1481	543,5293	270,3859	206,5859	161,037	259,4753	225,5738	282,0283	180,9149	555,2385	649,5076	199,1472	265,758	1382,766	514,5837	393,3136	317,7441	570,236	2273,02	284,82	341,0172	3040,21	2905,75	2465,77	2224,99	2098,64	2280,21	1279,441	3085,75	3450,43	137,0967	253,3516	227,6639	234,1196	403,8052	132,2553	231,867	234,9176	226,132	141,7205	139,5194	127,3816	403,5041	363,555	344,3198	231,6881	430,1829	214,3837	5,161	5,093	4,736	3,9	3,357	3,387	3,742	1,24	1,216	1,581	1,53	5,07	5,25	8,25	2,815	2,68	2,333	2,313	3,442	3,7175	3,5301	3,7059	4,1397	4,5	875	2,528	2,167	2,223	2,408	3,75	1100,448	-0,05	0,105	0,392	0,995	1,225	-0,1	739914	3,2	3,1163	3,3888	3,7725	3,85
12/05/2023	459,9093	2116,27	171,8602	208,1106	1101,544	212,0457	542,055	269,4889	206,0027	160,5758	258,1951	224,7929	281,0727	180,2838	552,1426	648,1039	198,6978	265,1456	1379,57	513,9046	392,7458	317,2738	567,7819	2263,93	284,84	339,9014	3026,96	2896,61	2455,63	2218,1	2085,48	2276,77	1279,065	3071,93	3424,13	137,0687	252,0473	227,0872	233,7623	404,0013	132,2791	231,1657	233,7468	224,8137	141,5279	139,9358	127,2451	402,3806	361,8249	343,3107	230,5912	432,7835	213,7309	5,172	5,108	4,764	3,99	3,447	3,466	3,791	1,335	1,281	1,599	1,545	5,07	5,25	8,25	2,825	2,691	2,344	2,319	3,446	3,7884	3,5948	3,7752	4,2135	4,5	875	2,584	2,218	2,274	2,459	3,75	1100,448	-0,055	0,101	0,384	1,004	1,239	-0,1	739914	3,1688	3,0613	3,3238	3,7075	3,85
