Dates;USDCAD Curncy;USDMXN Curncy;USDBRL Curncy;USDCLP Curncy;USDCOP Curncy;USDPEN Curncy;USDVEF Curncy;USDCRC Curncy;USDARS Curncy;EURUSD Curncy;GBPUSD Curncy;USDCHF Curncy;USDSEK Curncy;USDDKK Curncy;USDNOK Curncy;USDCZK Curncy;USDSKK Curncy;USDPLN Curncy;USDHUF Curncy;USDRUB Curncy;USDTRY Curncy;USDILS Curncy;USDKES Curncy;USDZAR Curncy;USDMAD Curncy;USDJPY Curncy;EURJPY Curncy;HKDJPY Curncy;USDHKD Curncy;USDSGD Curncy;AUDJPY Curncy;AUDUSD Curncy;NZDUSD Curncy;USDTWD Curncy;USDKRW Curncy;USDPHP Curncy;USDIDR Curncy;USDINR Curncy;USDCNY Curncy;USDMYR Curncy;USDTHB Curncy;JPYMYR Curncy
01/05/2023;1.3544;17.939;4.988;806.5;4695.27;3.708;248520.9688;542.01;222.6365;1.0976;1.2496;0.8955;10.3193;6.7905;10.7368;21.5134;27.4478;4.1981;339.36;118.6895;19.4621;3.6203;135.88;18.402;10.0511;137.5;150.96;17.5213;7.8498;1.3363;91.175;0.663;0.6167;30.743;1338.5;55.36;14670;81.8325;6.9126;4.4622;34.143;3.235
02/05/2023;1.3626;17.9795;5.0409;810.23;4694.14;3.7125;248520.9688;542.56;224.6413;1.0999;1.2467;0.8932;10.3096;6.7763;10.8128;21.4535;27.3887;4.1637;340.74;118.6895;19.466;3.6422;136.1;18.4737;10.0502;136.55;150.21;17.3983;7.8499;1.3347;90.998;0.6663;0.6208;30.779;1341.85;55.36;14705;81.8875;6.9126;4.464;34.205;3.2592
03/05/2023;1.3615;17.9275;4.9945;803.9;4662.52;3.7105;248520.9688;543.82;225.1768;1.1062;1.2564;0.884;10.2631;6.7354;10.7549;21.2491;27.2339;4.1494;339.5;118.6895;19.4691;3.6379;136.2;18.29;9.9911;134.71;149.13;17.1609;7.85;1.3303;89.885;0.6671;0.6229;30.745;1338.1;55.368;14685;81.83;6.9126;4.4552;34.03;3.3057
04/05/2023;1.3539;17.9137;4.984;798.5;4602.98;3.718;248520.9688;544.71;225.6853;1.1012;1.2574;0.8857;10.248;6.7649;10.702;21.2812;27.3566;4.1681;338.78;118.6895;19.4728;3.6421;136.3;18.2873;10.005;134.29;147.9;17.1138;7.8474;1.3281;89.879;0.6693;0.6281;30.671;1322.6;55.365;14680;81.8;6.9113;4.4552;34.03;3.3173
05/05/2023;1.3375;17.7619;4.951;794.38;4524.86;3.71;248520.9688;544.11;226.2158;1.1019;1.2636;0.8909;10.168;6.7604;10.5693;21.2279;27.339;4.1528;337.47;118.6895;19.5125;3.64;136.4;18.4074;9.9886;134.8;148.36;17.1786;7.8478;1.3258;91.045;0.6749;0.6292;30.637;1322.6;55.31;14675;81.8;6.9094;4.4363;34.03;3.2897
08/05/2023;1.3374;17.7975;5.0097;797.35;4508.6;3.707;248520.9688;540.31;227.6003;1.1004;1.2618;0.8895;10.1643;6.7673;10.4963;21.263;27.3768;4.144;338.18;118.6895;19.5065;3.6324;136.5;18.331;9.9901;135.1;148.68;17.2145;7.849;1.3245;91.634;0.6782;0.6344;30.677;1321.15;55.267;14700;81.8038;6.9142;4.437;33.8;3.2836
09/05/2023;1.3384;17.7735;4.9864;789.1;4556.24;3.691;248520.9688;538.82;228.097;1.0962;1.2621;0.8905;10.2069;6.791;10.5787;21.3474;27.4823;4.1534;338.65;118.6895;19.521;3.6668;136.59;18.6341;10.0189;135.23;148.23;17.242;7.8413;1.3274;91.446;0.6762;0.6335;30.696;1323.95;55.764;14730;82.0462;6.9204;4.448;33.722;3.2889
10/05/2023;1.3372;17.5504;4.9446;788.2;4547.33;3.6691;248520.9688;538.23;228.5022;1.0982;1.2625;0.8898;10.2151;6.7806;10.505;21.3648;27.4327;4.1142;336.53;118.6895;19.5454;3.6451;136.68;18.8709;10.012;134.34;147.56;17.1516;7.8317;1.325;91.095;0.6779;0.6367;30.725;1324.9;55.688;14725;81.9925;6.9304;4.4585;33.665;3.3181
11/05/2023;1.3491;17.5783;4.9315;793.95;4567.13;3.663;248520.9688;537.54;228.9747;1.0916;1.2511;0.8942;10.3362;6.8227;10.6798;21.5704;27.5992;4.1585;340.07;118.6895;19.5816;3.6448;136.68;19.2051;10.0646;134.53;146.88;17.1625;7.8358;1.3316;90.184;0.6702;0.6298;30.732;1326.25;55.758;14724;82.0887;6.9489;4.464;33.725;3.3175
12/05/2023;1.355;17.5932;4.9214;785;4552.89;3.6598;248520.9688;538.61;229.2387;1.0849;1.2458;0.8975;10.3815;6.8638;10.6815;21.7549;27.7683;4.1634;341.41;118.6895;19.5842;3.6758;136.9;19.3414;10.1026;135.7;147.24;17.3072;7.841;1.3383;90.154;0.6646;0.6193;30.749;1334.45;55.778;14750;82.17;6.9591;4.48;34;3.3015
